key,label,normalized_time,n,p,q,r
theta_2,$1-n^2$,1.7983333333332847,0.5433178536131299,0.23292656614599927,0.4456774995487797,0.49113631366383304
theta_2,$1-n^2$,1.7999999999999474,0.5451838869747406,0.23256794543059378,0.4472335337975985,0.4929194321278138
theta_2,$1-n^2$,1.8016666666667154,0.5470458905977919,0.23222030035138502,0.448797237222469,0.4947052666023652
theta_2,$1-n^2$,1.803333333333378,0.5489035873484154,0.23188363392520397,0.45036843964185774,0.49649358597386184
theta_2,$1-n^2$,1.8050000000000408,0.5507567001786563,0.23155794928459364,0.45194696880027896,0.49828415758577005
theta_2,$1-n^2$,1.8066666666667035,0.5526049522224047,0.2312432496836988,0.45353265039668955,0.5000767472927439
theta_2,$1-n^2$,1.8083333333333662,0.5544480668919342,0.23093953850286733,0.4551253081204381,0.5018711195156679
theta_2,$1-n^2$,1.810000000000029,0.556285767974219,0.23064681925200659,0.45672476369477183,0.5036670372968433
theta_2,$1-n^2$,1.8116666666666916,0.5581177797334854,0.23036509559094265,0.4583308368080666,0.505464262376589
theta_2,$1-n^2$,1.8133333333333543,0.5599438270089986,0.2300943713360451,0.4599433451354915,0.5072625552543719
theta_2,$1-n^2$,1.815000000000017,0.5617636353082511,0.22983465045353815,0.4615621044453054,0.5090616752381781
theta_2,$1-n^2$,1.8166666666666798,0.5635769309064047,0.2295859370707525,0.46318692858819255,0.5108613805148635
theta_2,$1-n^2$,1.8183333333333425,0.5653834409431806,0.22934823548059732,0.46481762953075306,0.5126614282137746
theta_2,$1-n^2$,1.8200000000000052,0.5671828935196033,0.2291215501463129,0.4664540173860884,0.5144615744724929
theta_2,$1-n^2$,1.8216666666666679,0.5689750177944397,0.22890588570632942,0.46809590044273597,0.5162615745043286
theta_2,$1-n^2$,1.8233333333333308,0.5707595440801745,0.22870124697905728,0.4697430851932068,0.5180611826671966
theta_2,$1-n^2$,1.8249999999999935,0.5725362039383641,0.22850763896743542,0.4713953763633786,0.5198601525335007
theta_2,$1-n^2$,1.8266666666666562,0.5743047302742107,0.22832506686306245,0.47305257694399955,0.5216582369606568
theta_2,$1-n^2$,1.828333333333319,0.5760648574301972,0.22815353604973682,0.47471448822555473,0.5234551881618844
theta_2,$1-n^2$,1.8299999999999816,0.5778163212786258,0.22799305210623158,0.47638090983774983,0.5252507577768939
theta_2,$1-n^2$,1.8316666666666443,0.5795588593129009,0.22784362080812928,0.4780516397948653,0.5270446969421013
theta_2,$1-n^2$,1.833333333333307,0.5812922107373978,0.2277052481285429,0.47972647454823475,0.5288367563599974
theta_2,$1-n^2$,1.8349999999999698,0.5830161165565856,0.2275779402398251,0.4814052090304274,0.5306266863715565
theta_2,$1-n^2$,1.8366666666666325,0.5847303196667103,0.227461703525489,0.4830876366240685,0.5324142370482888
theta_2,$1-n^2$,1.8383333333332952,0.586434564939308,0.2273565445730765,0.48477354926863836,0.5341991582501108
theta_2,$1-n^2$,1.839999999999958,0.5881285993072933,0.22726247017797718,0.48646273748563745,0.5359811997050449
theta_2,$1-n^2$,1.8416666666666206,0.5898121718485273,0.22717948734412222,0.4881549904262641,0.5377601110831648
theta_2,$1-n^2$,1.8433333333332833,0.5914850338676951,0.22710760328422303,0.4898500959210866,0.5395356420707008
theta_2,$1-n^2$,1.8450000000000513,0.5931469389767926,0.22704682542027657,0.4915478405264799,0.5413075424457008
theta_2,$1-n^2$,1.846666666666714,0.5947976431734515,0.2269971613841542,0.4932480095687095,0.5430755621540613
theta_2,$1-n^2$,1.8483333333333767,0.5964369049185347,0.22695861901801268,0.4949503871888009,0.5448394513870963
theta_2,$1-n^2$,1.8500000000000396,0.5980644852107616,0.22693120637439898,0.4966547563875754,0.5465989606578918
theta_2,$1-n^2$,1.8516666666667023,0.5996801476597982,0.226914931715785,0.4983608990739892,0.5483538408776122
theta_2,$1-n^2$,1.853333333333365,0.6012836585570398,0.2269098035133507,0.5000685961176603,0.5501038434305778
theta_2,$1-n^2$,1.8550000000000277,0.6028747869440505,0.2269158304448069,0.5017776274072167,0.5518487202477088
theta_2,$1-n^2$,1.8566666666666904,0.6044533046785182,0.22693302139105243,0.5034877719159954,0.5535882238778262
theta_2,$1-n^2$,1.8583333333333532,0.6060189864976089,0.22696138543152705,0.5051988077761047,0.555322107556447
theta_2,$1-n^2$,1.8600000000000159,0.6075716100827903,0.22700093184943104,0.5069105122751604,0.5570501252969018
theta_2,$1-n^2$,1.8616666666666786,0.6091109561199507,0.22705167012973798,0.5086226619068822,0.5587720319651915
theta_2,$1-n^2$,1.8633333333333413,0.6106368083547732,0.22711360995080165,0.5103350324686072,0.5604875833413671
theta_2,$1-n^2$,1.865000000000004,0.6121489536486909,0.22718676118354086,0.5120473990991057,0.5621965361976095
theta_2,$1-n^2$,1.8666666666666667,0.6136471820312475,0.22727113388708978,0.513759536341709,0.5638986483684104
theta_2,$1-n^2$,1.8683333333333294,0.6151312867502237,0.22736673830479434,0.5154712182028094,0.5655936788216325
theta_2,$1-n^2$,1.8699999999999921,0.616601064319439,0.22747358486034086,0.5171822182073439,0.5672813877298811
theta_2,$1-n^2$,1.8716666666666548,0.6180563145641346,0.22759168415380285,0.5188923094528701,0.568961536541626
theta_2,$1-n^2$,1.8733333333333175,0.6194968406638444,0.22772104695739187,0.5206012646638476,0.5706338880515024
theta_2,$1-n^2$,1.8749999999999802,0.6209224491926635,0.22786168421069875,0.522308856247732,0.5722982064692302
